文章名称,发布时间,对应链接
【宣传部】我校召开“形势与政策”教学工作布置暨集体备课线上会议 ,2020-05-30 ,http://news.njfu.edu.cn/ybdt/20210517/i213375.html
【人文院】人文院邀请优秀校友来校分享就业经验 ,2020-05-29 ,http://news.njfu.edu.cn/ybdt/20210517/i213339.html
【材料院】材料院针对困难学子开启“云育人”服务 ,2020-05-20 ,http://news.njfu.edu.cn/ybdt/20210517/i213341.html
【理学院】理学院开展“最美生活”居家劳动实践教育活动 ,2020-05-16 ,http://news.njfu.edu.cn/ybdt/20210517/i215279.html
【期刊部】《南京林业大学学报(人文社会科学版)》开设“人与野生动物研究”专题 ,2020-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i215005.html
【土木院】副校长勇强一行来院调研指导专业评估与认证工作 ,2020-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216112.html
【交通院】我校第12届交通科技大赛暨第5届江苏大学生交通科技大赛选拔赛线上举办 ,2020-05-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216108.html
【园林院】园林院党委一行到久大产业投资集团调研 ,2020-05-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216105.html
【艺术院】艺术院举办抗疫心理健康教育活动 ,2020-05-08 ,http://news.njfu.edu.cn/ybdt/20210517/i216649.html
【财务处】疫情防控，保障随行---我校推出财政电子票据 ,2020-05-05 ,http://news.njfu.edu.cn/ybdt/20210517/i216948.html
【社科处】我校高强教授受聘为江苏省委农办、省农业农村厅乡村振兴专家咨询委员会委员 ,2020-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i215710.html
【后勤处】学校组织开展校园食品安全专项检查 ,2020-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i215707.html
【化工院】化工院召开淮安校区2019级化工与制药类学生专业分流说明会 ,2020-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216433.html
【材料院】科研成果“助”生产 科技战“疫”出成效 ,2020-04-24 ,http://news.njfu.edu.cn/ybdt/20210517/i216979.html
【图书馆】副校长张红到图书馆考查疫情防控及开馆准备工作 ,2020-04-20 ,http://news.njfu.edu.cn/ybdt/20210517/i216603.html
【家居院】家居学院团委开展线上宣传教育活动 迎全民国家安全教育日 ,2020-04-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216601.html
【经管院】经管院多措并举保障在线教学质量 ,2020-04-10 ,http://news.njfu.edu.cn/ybdt/20210517/i217017.html
【国教院】我校留管工作人员在疫情防控一线践行初心使命 ,2020-03-31 ,http://news.njfu.edu.cn/ybdt/20210517/i217016.html
【财务处】财务处全力保障服务疫情防控大局 ,2020-03-27 ,http://news.njfu.edu.cn/ybdt/20210517/i217014.html
【人文院】人文院疫情防控期间高质量推进在线教学工作 ,2020-03-24 ,http://news.njfu.edu.cn/ybdt/20210517/i217011.html
【材料院】材料院学子一线战“疫情” ,2020-02-10 ,http://news.njfu.edu.cn/ybdt/20210517/i217004.html
【学工处】寒冬暖贴 ——南京林业大学送温暖在行动 ,2020-01-16 ,http://news.njfu.edu.cn/ybdt/20210517/i217008.html
【经管院】《林业百科全书林业经济管理卷》三级词条编纂会议在我校召开 ,2020-01-14 ,http://news.njfu.edu.cn/ybdt/20210517/i217002.html
【土木院】土木院魏洋教授参与的项目荣获国家科技进步二等奖 ,2020-01-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216997.html
【土木院】我校土木工程专业通过中国工程教育认证 ,2020-01-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216994.html
【学工处】我校慰问双拥共建部队 ,2020-01-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216992.html
【理学院】理学院学子上年度发表多篇高水平科研论文 ,2020-01-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216989.html
【艺术院】西交利物浦大学陈冰副教授来校讲学 ,2019-12-31 ,http://news.njfu.edu.cn/ybdt/20210517/i216986.html
【土木院】土木工程学院举办第一届国际教育论坛 ,2019-12-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216982.html
【土木院】澳大利亚阿德莱德大学左剑教授来我校访问交流 ,2019-12-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216975.html
【学工处】我校举办2019年辅导员心理工作坊 ,2019-12-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216969.html
【统战部】我校三项目中标2019—2021年度九三学社人物传课题 ,2019-12-25 ,http://news.njfu.edu.cn/ybdt/20210517/i216959.html
【艺术院】艺术院召开2020届本科毕业生就业动员大会 ,2019-12-25 ,http://news.njfu.edu.cn/ybdt/20210517/i216972.html
【人文院】讲敬业故事 学先进事迹 ,2019-12-20 ,http://news.njfu.edu.cn/ybdt/20210517/i216966.html
【化工院】冬日樱花皂，公益暖心房 ,2019-12-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216963.html
【理学院】理学院青年志愿者走进小学课堂开展科普创新活动 ,2019-12-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216951.html
【生物院】生物学院给2016级考研同学送“温暖礼包” ,2019-12-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216940.html
【土木院】阿尔及利亚国立高等管理学院代表团来我校访问交流 ,2019-12-16 ,http://news.njfu.edu.cn/ybdt/20210517/i216931.html
【理学院】理学院举办第五届“鸡蛋撞地球”创意实践大赛 ,2019-12-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216923.html
【化工院】化工院在淮安校区举办学业指导及学习经验分享会 ,2019-12-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216925.html
【理学院】理学院开展“青春有梦，研途有爱”考研送温暖活动 ,2019-12-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216954.html
【校团委】我校获评2019年“七彩假期”志愿服务项目优秀单位 ,2019-12-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216911.html
【家居院】家居学院举办困难生家庭暖心故事分享会 ,2019-12-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216917.html
【机电院】机电学院在2019年全国3D大赛年度总决赛喜获佳绩 ,2019-12-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216945.html
【人文院】第十一届大广赛江苏赛区颁奖典礼在我校举行 ,2019-12-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216943.html
【学工处】2019年高校学生资助工作座谈会在我校举行 ,2019-12-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216908.html
【土木院】土木学院与江苏省建筑工程集团第一工程公司共建本科生实习基地 ,2019-12-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216934.html
【艺术院】同济大学林家阳教授来我校讲学 ,2019-12-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216920.html
【校团委】第二届进博会城市服务保障领导小组向我校发来感谢信 ,2019-12-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216891.html
【化工院】化工院举办“一笔一划”书法比赛 ,2019-12-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216904.html
【土木院】“讲述院史院风、牢记初心使命”主题党日活动成果总结交流大会暨2019级新生... ,2019-12-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216898.html
【校团委】南京林业大学—江苏华宇印涂设备集团有限公司签署校地合作共建协议 ,2019-12-05 ,http://news.njfu.edu.cn/ybdt/20210517/i216895.html
【国教院】我校亚太森林组织奖学金项目留学生赴广西实习 ,2019-12-03 ,http://news.njfu.edu.cn/ybdt/20210517/i216879.html
【化工院】化学工程学院召开2018-2019学年大学生学科竞赛总结表彰大会 ,2019-12-02 ,http://news.njfu.edu.cn/ybdt/20210517/i216876.html
【化工院】化学工程学院举办第三届创新创业大赛 ,2019-11-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216882.html
【校团委】共青团“伙伴计划”专题培训班在我校举办 ,2019-11-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216914.html
【生物院】生物院开展“最美课堂笔记”评选活动 ,2019-11-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216874.html
【轻工院】轻工院学子在江苏省大学生食品科技创新创业大赛中获奖 ,2019-11-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216871.html
【外语院】我校学生在“21世纪杯”英语演讲比赛（江苏赛区）决赛中取得佳绩 ,2019-11-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216868.html
【轻工院】我校举行制浆造纸基金会2019年年会暨奖（助）学金颁奖大会 ,2019-11-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216865.html
【国教院】欧盟“伊拉斯谟（Erasmus＋）” 项目 2019年度计划在我校顺利实施 ,2019-11-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216862.html
【学工处】我校学子在第十六届国际青少年林业大赛中荣获专业成果奖 ,2019-11-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216847.html
【理学院】理学院举办2019年“青衿逐梦”迎新晚会 ,2019-11-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216856.html
【外语院】外语院学子参加“2019江苏-挪威绿色科技及海洋装备项目对接交流会”口译志... ,2019-11-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216858.html
【体育部】我校排舞队在福摩杯“舞动中国-排舞联赛”总决赛中取得优异成绩 ,2019-11-15 ,http://news.njfu.edu.cn/ybdt/20210517/i216853.html
【化工院】化工院各系召开2019级学生专业见面会 ,2019-11-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216836.html
【艺术院】艺术院举办“心灵图腾”心理健康活动 ,2019-11-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216958.html
【人文院】人民日报高级记者蒋建科来校作讲座 ,2019-11-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216850.html
【家居院】家居院举办“遇见你满‘新’欢喜”迎新晚会 ,2019-11-08 ,http://news.njfu.edu.cn/ybdt/20210517/i216838.html
【人文院】中国绿色时报社常务副书记邵权熙被聘为人文学院研究生校外导师 ,2019-11-08 ,http://news.njfu.edu.cn/ybdt/20210517/i216844.html
【科技处】李维林副校长当选江苏省农学会第十一届理事会副理事长 ,2019-11-07 ,http://news.njfu.edu.cn/ybdt/20210517/i216828.html
【社科处】美国著名生态经济学家克里福德·柯布应邀到校交流讲学 ,2019-11-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216825.html
【国教院】我校留学生参加第二届“学在中国”来华留学生博士论坛 ,2019-11-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216822.html
【组织部】寻初心 悟使命 我校教工党支部书记赴赵亚夫事迹馆参观学习 ,2019-11-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216819.html
【机电院】机电学子在第十届江苏省大学生机器人大赛中获奖 ,2019-11-04 ,http://news.njfu.edu.cn/ybdt/20210517/i216831.html
【化工院】化学工程学院举办2019级迎新晚会 ,2019-11-01 ,http://news.njfu.edu.cn/ybdt/20210517/i216816.html
【学工处】我校举办“百师百校行”全省高校就业创业指导公益巡讲 ,2019-11-01 ,http://news.njfu.edu.cn/ybdt/20210517/i216842.html
【化工院】化工院举行“专业与人生”主题讲座学习传承梁希精神 ,2019-10-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216813.html
【家居院】江苏师范大学纪委书记陈鹏来校与青年学子交流 ,2019-10-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216811.html
【机电院】机电学院开展“机电与人生”信仰公开课 ,2019-10-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216810.html
【化工院】化工院举办2019级本科生学习经验交流会 ,2019-10-22 ,http://news.njfu.edu.cn/ybdt/20210517/i216785.html
【材料院】材料院举办“大手牵小手，讲好渡江故事，传承渡江精神”主题教育活动 ,2019-10-21 ,http://news.njfu.edu.cn/ybdt/20210517/i216782.html
【艺术院】艺术院举办第四期“云水心帆”心理工作坊 ,2019-10-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216775.html
【轻工院】轻工学院师生参加中国化学会第一届全国纤维素学术研讨会 ,2019-10-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216772.html
【外语院】外语院学子在全国英语专业四级统测中取得优异成绩 ,2019-10-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216766.html
【社科处】省委政策研究室专家钱钢到我校作专题报告 ,2019-10-16 ,http://news.njfu.edu.cn/ybdt/20210517/i216763.html
【外语院】江苏省第七届“卡西欧・新世界杯”高校日语配音大赛在我校举行 ,2019-10-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216770.html
【化工院】化学工程学院举办“我和我的祖国”红歌会 ,2019-10-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216760.html
【体育部】我校棒垒球队荣获2019年全国慢投垒球健康赢活动总决赛第四名 ,2019-10-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216757.html
【土木院】土木院举办退休教师重阳节聚会 ,2019-10-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216754.html
【艺术院】艺术院党委与金埔公司党支部开展联谊活动 ,2019-10-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216779.html
【统战部】我校致公党支部主委马健霄应邀出席“2019年度致公党长三角区域合作发展论坛... ,2019-10-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216748.html
【人文院】人文院2019年青年教师讲课竞赛顺利举行 ,2019-10-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216740.html
【国教院】我校来华留学生代表参加“2019健康溧水国际户外节”活动 ,2019-10-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216750.html
【土木院】土木院举行“爱在行走间”圆梦大学 助学金捐助仪式 ,2019-09-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216736.html
【统战部】我校区人大代表向选民代表报告履职情况 ,2019-09-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216735.html
【机电院】机电院组织“迎国庆·话感恩”观影活动 ,2019-09-25 ,http://news.njfu.edu.cn/ybdt/20210517/i217123.html
【化工院】化学工程学院举办2019级新生见面会 ,2019-09-23 ,http://news.njfu.edu.cn/ybdt/20210517/i216725.html
【科技处】我校与淮安市白马湖投资发展有限公司签约共建海棠园产学研合作基地 ,2019-09-20 ,http://news.njfu.edu.cn/ybdt/20210517/i216732.html
【艺术院】艺术院学子自制月饼庆祝教师节 ,2019-09-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216718.html
【经管院】我校教师编撰案例入选第十届“全国百篇优秀管理案例” ,2019-09-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216715.html
【学工处】首批淮安校区同学顺利返校 ,2019-09-01 ,http://news.njfu.edu.cn/ybdt/20210517/i216712.html
【家居院】“2019年中意国际设计研究工作营” 在意大利佛罗伦萨大学结营 ,2019-08-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216709.html
【机电院】我校教师获在宁直属高校、科研院所“南玻杯”教职工CAD应用技能竞赛二等奖 ,2019-07-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216706.html
【研究生院】我校在2019年江苏省研究生数学建模科研创新实践大赛中获佳绩 ,2019-07-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216703.html
【园林院】南京林业大学风景园林学院常州院友会成立 ,2019-07-22 ,http://news.njfu.edu.cn/ybdt/20210517/i216700.html
【学工处】我校学生在第16届国际青少年林业比赛中国选拔赛中取得佳绩 ,2019-07-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216697.html
【机电院】机电院学生参加“善道盱眙·童享阳光”公益夏令营活动 ,2019-07-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216694.html
【社科处】我校召开人文社科科研工作会议 ,2019-07-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216691.html
【人文院】人文院师生拍摄的纪录片《林中萧瑟》入选全国科普微视频大赛百部优秀作品 ,2019-07-12 ,http://news.njfu.edu.cn/ybdt/20210517/i216688.html
【统战部】我校无党派高级知识分子联谊会举行换届选举大会 ,2019-07-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216683.html
【学工处】我校举行心理健康教育特色活动评比汇报会 ,2019-07-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216679.html
【艺术院】“问题导向 精准帮扶”艺术院助力家庭经济困难学生学业脱贫 ,2019-07-05 ,http://news.njfu.edu.cn/ybdt/20210517/i216686.html
【艺术院】艺术院师生党员用实际行动向党的生日献礼 ,2019-07-02 ,http://news.njfu.edu.cn/ybdt/20210517/i216668.html
【家居院】家居与工业设计学院举行2019届本科生毕业典礼暨学位授予仪式 ,2019-06-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216658.html
【家居院】家居学院召开2019未来+智能家居协同创新发展论坛 ,2019-06-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216655.html
【人文院】2019年高校“生态影像”创作传播学术研讨会在我校顺利举行 ,2019-06-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216652.html
【土木院】土木工程学院举行2019届本科生毕业典礼 ,2019-06-21 ,http://news.njfu.edu.cn/ybdt/20210517/i216661.html
【经管院】经济管理学院举行2019届本科生毕业典礼暨学位授予仪式 ,2019-06-19 ,http://news.njfu.edu.cn/ybdt/20210517/i216645.html
【交通院】汽车与交通工程学院举行2019届本科生毕业典礼暨学位授予仪式 ,2019-06-19 ,http://news.njfu.edu.cn/ybdt/20210517/i216639.html
【艺术院】艺术设计学院举行2019届本科生毕业典礼 ,2019-06-19 ,http://news.njfu.edu.cn/ybdt/20210517/i216636.html
【艺术院】艺术学子以践行变废为宝来传播生态文明理念 ,2019-06-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216633.html
【外语院】外语院学生与美国阿拉巴马农工大学学生共享文化盛宴 ,2019-06-18 ,http://news.njfu.edu.cn/ybdt/20210517/i216627.html
【机电院】机电学院举行2019届本科生毕业典礼 ,2019-06-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216624.html
【机电院】机电学院召开亚琛工业大学联合培养项目分享会 ,2019-06-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216622.html
【土木院】土木学院召开2017级本科生数学建模交流会 ,2019-06-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216676.html
【土木院】土木化工两院联合举办学生出国留学指导专场讲座 ,2019-06-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216619.html
【土木院】土木学院举办“励志人生 践行中国梦”系列活动 ,2019-06-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216617.html
【土木院】土木工程学院举办2019届本科毕业生晚会 ,2019-06-11 ,http://news.njfu.edu.cn/ybdt/20210517/i216665.html
【机电院】机电学院召开团学代表大会 ,2019-06-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216612.html
【外语院】外语学院与桠溪国际慢城小学举行实践基地签约仪式 ,2019-06-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216608.html
【艺术院】艺术院举办2020届本科毕业生首场实习对接会 ,2019-06-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216630.html
【材料院】材料院学生到小学开讲“美丽中国我是行动者”主题班会 ,2019-06-05 ,http://news.njfu.edu.cn/ybdt/20210517/i216642.html
【体育部】我校棒垒球队在2019年江苏省大学生慢投垒球比赛中夺冠 ,2019-06-04 ,http://news.njfu.edu.cn/ybdt/20210517/i216595.html
【校团委】我校学子荣获“青年演说家——百年名校邀请赛”二等奖 ,2019-06-04 ,http://news.njfu.edu.cn/ybdt/20210517/i216592.html
【艺术院】艺术院举办“新中国林业建设中的南林人故事”专题讲座 ,2019-05-31 ,http://news.njfu.edu.cn/ybdt/20210517/i216580.html
【校团委】南林研支团学习娄勤俭书记批示精神，致力画好支教同心圆 ,2019-05-31 ,http://news.njfu.edu.cn/ybdt/20210517/i216577.html
【材料院】团省委青年发展部副部长翁巍一行到材料学院考察 ,2019-05-31 ,http://news.njfu.edu.cn/ybdt/20210517/i216615.html
【国际合作处】我校与新布伦瑞克大学联合培养的2019届学生顺利毕业 ,2019-05-31 ,http://news.njfu.edu.cn/ybdt/20210517/i216583.html
【财务处】财务处举办个人所得税政策宣讲会 ,2019-05-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216606.html
【土木院】土木工程学院举办研究生导师培训交流会 ,2019-05-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216571.html
【经管院】我校张智光教授当选为中国管理科学与工程学会常务理事 ,2019-05-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216567.html
【审计处】江苏省教育厅监督与审计处领导来我校调研 ,2019-05-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216565.html
【生物院】生物与环境学院举办第一届“火参果杯”羽毛球友谊赛 ,2019-05-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216562.html
【淮安校区】淮安校区开展“平安校园建设月”安全隐患排查整改工作 ,2019-05-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216559.html
【体育部】我校健儿在“舞动中国-排舞联赛”昆山赛区中取得佳绩 ,2019-05-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216568.html
【创新创业学院】我校举行第五届中国“互联网+”大学生创新创业大赛校内选拔赛 ,2019-05-27 ,http://news.njfu.edu.cn/ybdt/20210517/i216557.html
【轻工院】轻工学院召开2020届本科毕业生就业动员大会 ,2019-05-23 ,http://news.njfu.edu.cn/ybdt/20210517/i216553.html
【人文院】人文院召开绿色新闻传播系列教材建设成果汇报会 ,2019-05-23 ,http://news.njfu.edu.cn/ybdt/20210517/i216574.html
【艺术院】艺术院心理工作坊举行5•25心理健康日活动 ,2019-05-23 ,http://news.njfu.edu.cn/ybdt/20210517/i216550.html
【继教院】南京市领导干部“全域旅游与城市文化提升”春季培训班圆满开班 ,2019-05-23 ,http://news.njfu.edu.cn/ybdt/20210517/i216548.html
【化工院】化工院举办2018级本科生考风考纪与安全教育主题大会 ,2019-05-22 ,http://news.njfu.edu.cn/ybdt/20210517/i216545.html
【科技处】我校两项专利获得2018年“中国专利奖”优秀奖 ,2019-05-21 ,http://news.njfu.edu.cn/ybdt/20210517/i216541.html
【人文院】人文学院与南京华玥影文化发展有限公司签订研究生实习基地共建协议 ,2019-05-21 ,http://news.njfu.edu.cn/ybdt/20210517/i216539.html
【学工处】我校开展第九期大学生就业能力提升培训 ,2019-05-20 ,http://news.njfu.edu.cn/ybdt/20210517/i216586.html
【土木院】土木工程学院召开迎接党委第二轮巡察工作动员部署会议 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216530.html
【学工处】心理中心举办第十一期“辅导员、班主任心理健康教育”培训班 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216555.html
【土木院】南京土木建筑学会第十一届五次常务理事会议在我校召开 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216524.html
【经管院】经济管理学院开展“尊法学法守法用法 法律伴我健康成长”法治宣传教育系列活动 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216522.html
【化工院】化工院举办“峥嵘七十载，共筑中国梦”第13届党的基本知识竞赛 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216519.html
【人文院】人文学院举行“金课”建设研讨会 ,2019-05-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216516.html
【后勤公司】后勤服务总公司饮食服务中心荣获江苏省高校后勤系统烹饪职业技能竞赛团体二等... ,2019-05-16 ,http://news.njfu.edu.cn/ybdt/20210517/i216506.html
【艺术院】艺术设计学院推行本科生导师制 探索“双一流”人才精准培养 ,2019-05-15 ,http://news.njfu.edu.cn/ybdt/20210517/i216503.html
【艺术院】艺术学子用画笔绘就林学家精神 ,2019-05-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216533.html
【土木院】土木院在淮安校区举行朋辈分享交流会 ,2019-05-14 ,http://news.njfu.edu.cn/ybdt/20210517/i216536.html
【艺术院】艺术院学子创意使用小漫画疏导负面情绪 ,2019-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216496.html
【土木院】土木工程学院2019年“同心家国，‘寓’见你我”宿舍绿色文化节在淮安校区成... ,2019-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216598.html
【园林院】园林院与江苏省句东强制隔离戒毒所共建警示教育基地 ,2019-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216493.html
【理学院】理学院举办2018-2019学年学生会工作汇报暨表彰会 ,2019-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216544.html
【轻工院】轻工院举办轻化工程专业校企人才培养研讨会 ,2019-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i216492.html
【教务处】诵古今经典 讲中国故事 ——我校举办“中华经典诵读大赛” ,2019-05-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216489.html
【离退休处】我校老同志参加第二届江苏省趣味运动会 ,2019-05-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216474.html
【化工院】化学工程学院举行资助育人成效书法展和诚信教育活动 ,2019-05-10 ,http://news.njfu.edu.cn/ybdt/20210517/i216833.html
【机电院】机电学院组织考研经验分享会 ,2019-05-09 ,http://news.njfu.edu.cn/ybdt/20210517/i216487.html
【轻工院】轻工院举行纪念五四运动一百周年专题思政课 ,2019-05-08 ,http://news.njfu.edu.cn/ybdt/20210517/i216500.html
【轻工院】轻工院“执笔心向党，青春贺华诞”知识竞赛暨书画大赛圆满落幕 ,2019-05-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216498.html
【学工处】我校承办南京市第二届青年大学生双创节闭幕式 ,2019-05-06 ,http://news.njfu.edu.cn/ybdt/20210517/i216481.html
【材料院】材料院开展“筑梦未来”经济困难学生帮扶系列活动 ,2019-05-01 ,http://news.njfu.edu.cn/ybdt/20210517/i216670.html
【学工处】我校举办团体心理辅导培训活动 ,2019-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216467.html
【学工处】我校组织参加2019年全国大学生征兵工作网络视频会议 ,2019-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216455.html
【机电院】机电学院赴淮安开展主题团日活动 ,2019-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216470.html
【期刊部】《林业工程学报》《南京林业大学学报（自然科学版）》被CSCD数据库收录 ,2019-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i216458.html
【统战部】我校赴井冈山参与“不忘合作初心 继续携手前进”党外代表人士培训班 ,2019-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216441.html
【理学院】理学院开展“仰望星空 脚踏实地”主题党日活动 ,2019-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216464.html
【化工院】化工院举办2020届毕业生考研动员暨考研经验交流会 ,2019-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i216452.html
【机电院】我校学子在2019中国工程机器人大赛暨国际公开赛中获一等奖 ,2019-04-28 ,http://news.njfu.edu.cn/ybdt/20210517/i216449.html
【体育部】我校获评2018年度全国排舞广场舞推广先进单位 ,2019-04-26 ,http://news.njfu.edu.cn/ybdt/20210517/i216462.html
【生物院】江苏省第五届“熊文愈杯”生态环保知识竞赛圆满落幕 ,2019-04-25 ,http://news.njfu.edu.cn/ybdt/20210517/i216438.html
【土木院】土木工程学院与合肥路建集团共建研究生联合培养基地 ,2019-04-25 ,http://news.njfu.edu.cn/ybdt/20210517/i216444.html
【经管院】经管院行政支部赴东台市开展党日活动 ,2019-04-24 ,http://news.njfu.edu.cn/ybdt/20210517/i216477.html
【园林院】江苏省句东强制隔离戒毒所来我校进行党建交流 ,2019-04-22 ,http://news.njfu.edu.cn/ybdt/20210517/i216427.html
【土木院】英国布鲁内尔大学Fan院士应邀来我校开展学术交流 ,2019-04-19 ,http://news.njfu.edu.cn/ybdt/20210517/i216447.html
【土木院】土木工程学院召开保研学生经验交流会 ,2019-04-19 ,http://news.njfu.edu.cn/ybdt/20210517/i216509.html
【土木院】土木工程学院开展“平凡中的伟大：坚守、奉献、服务”主题党日活动 ,2019-04-17 ,http://news.njfu.edu.cn/ybdt/20210517/i216430.html
【研究生院】我校设分会场参加2019年全省学科建设与研究生教育工作视频会议 ,2019-04-16 ,http://news.njfu.edu.cn/ybdt/20210517/i216415.html
