文章名称,发布时间,对应链接
【艺术院】艺术院与宝华镇开展校地共建艺术实践,2021-06-22,http://news.njfu.edu.cn/ybdt/20210622/i225088.html
【土木院】土木院党委举办“雷锋班班长讲述雷锋故事”线上专题讲座,2021-06-22 ,http://news.njfu.edu.cn/ybdt/20210622/i225056.html
【期刊部】【党史学习教育】期刊部党支部开设“小编诊所”助力论文写作,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223829.html
【土木院】【党史学习教育】土木院毕业生党员共唱红歌告别校园,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223828.html
【化工院】【党史学习教育】化工院召开党委理论学习中心组集体学习 ,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223827.html
【经管院】我校获第十一届全国大学生电子商务“创新、创意及创业”挑战赛江苏赛区多个奖项 ,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223825.html
【机电院】机电院举办“感恩有你，与爱同行”书信活动 ,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223790.html
【机电院】我校举办第十六届CAD应用技能大赛暨第二届“南高齿杯”CAD应用技能大赛 ,2021-06-21 ,http://news.njfu.edu.cn/ybdt/20210621/i223787.html
【学工处】【党史学习教育】我校学工人员赴南京脑科医院探索心理健康教育“医校合作”模式 ,2021-06-18 ,http://news.njfu.edu.cn/ybdt/20210618/i223744.html
【艺术院】【党史学习教育】艺术院、机电院、外语院联合开展感恩实践活动 ,2021-06-18 ,http://news.njfu.edu.cn/ybdt/20210618/i223733.html
【国合处】【党史学习教育】国合国教联合党支部开展“学习百年党史 践行服务宗旨”党史学... ,2021-06-18 ,http://news.njfu.edu.cn/ybdt/20210618/i223691.html
【家居院】家居院举办2021届毕业典礼暨学位授予仪式 ,2021-06-18 ,http://news.njfu.edu.cn/ybdt/20210701/i225516.html
【国教院】我校召开2021年来华留学生（学历生）招生综合考和预录取工作培训会 ,2021-06-17 ,http://news.njfu.edu.cn/ybdt/20210617/i223678.html
【机电院】【党史学习教育】机电院举办“青年说·红心向党 礼赞百年”党史学习教育暨毕业... ,2021-06-17 ,http://news.njfu.edu.cn/ybdt/20210617/i223664.html
【生物院】生物院举办 “青春本色，季忆留夏”2021届毕业生晚会 ,2021-06-17 ,http://news.njfu.edu.cn/ybdt/20210617/i223639.html
【离退休处】【党史学习教育】离退休处党委召开党史学习教育专题研讨会 ,2021-06-16 ,http://news.njfu.edu.cn/ybdt/20210616/i223632.html
【纪委办】【党史学习教育】纪监审党支部暨校纪检监察干部开展党史学习教育 ,2021-06-16 ,http://news.njfu.edu.cn/ybdt/20210616/i223628.html
【期刊部】【党史学习教育】期刊部党支部开展党史学习专题活动 ,2021-06-16 ,http://news.njfu.edu.cn/ybdt/20210616/i223617.html
【生物院】生物院举办“怎样与人沟通”心理健康讲座 ,2021-06-15 ,http://news.njfu.edu.cn/ybdt/20210615/i223563.html
【后勤处】饮食服务中心开展端午节传统文化体验活动 ,2021-06-15 ,http://news.njfu.edu.cn/ybdt/20210615/i223545.html
【淮安校区】【党史学习教育】淮安校区启动“传承恩来精神 铭记红色历史 筑梦伟大征程”... ,2021-06-15 ,http://news.njfu.edu.cn/ybdt/20210615/i223540.html
【校工会】【党史学习教育】校工会党支部、图书馆直属党支部联合开展主题党日活动 ,2021-06-12 ,http://news.njfu.edu.cn/ybdt/20210616/i223603.html
【家居院】家居院举办“记忆里的昨日青空”2021届毕业生晚会 ,2021-06-11 ,http://news.njfu.edu.cn/ybdt/20210611/i223478.html
【后勤处】【党史学习教育】饮食中心推出“爱心餐”预订服务 ,2021-06-11 ,http://news.njfu.edu.cn/ybdt/20210611/i223474.html
【土木院】土木院举办学生心理健康教育讲座 ,2021-06-11 ,http://news.njfu.edu.cn/ybdt/20210615/i223543.html
